56,0
58,1
83,1
57,2
56,3
59,3
76,3
85,3
82,5
84,5
72,6
86,6
75,7
97,9
100,9
98,10
96,11
102,13
101,16
100,17
111,18
101,19
109,20
101,21
104,21
106,21
100,22
106,26
111,26
110,27
108,29
129,40
128,43
129,44
129,47
140,52
143,52
142,53
141,54
143,55
161,57
162,57
163,57
170,57
161,58
171,58
170,61
163,62
167,62
163,63
171,63
168,65
170,65
174,69
174,73
185,73
190,73
202,73
208,73
213,73
215,73
217,73
220,73
229,73
182,74
220,74
226,74
175,75
176,75
178,75
180,75
190,75
200,75
203,75
207,75
208,75
210,75
212,75
217,75
218,75
193,76
204,76
209,76
217,76
176,77
186,77
195,77
203,77
207,77
208,77
217,77
223,77
185,78
188,78
211,78
225,78
183,79
185,79
186,79
188,79
191,79
198,79
201,79
202,79
203,79
205,79
207,79
213,79
218,79
225,79
227,79
172,80
176,80
228,80
226,81
176,82
225,82
174,84
225,84
171,85
180,85
226,86
170,87
171,87
166,88
156,89
158,89
171,89
160,90
166,90
170,90
172,90
164,91
151,92
153,92
160,92
161,92
165,92
166,92
150,94
158,94
160,94
163,94
166,94
155,95
156,95
161,95
171,95
133,97
135,97
136,97
150,97
131,98
139,98
149,98
133,99
134,99
136,99
128,100
133,100
138,100
139,100
141,100
147,100
150,100
140,101
128,102
131,102
138,102
121,104
123,104
126,104
129,104
131,104
134,104
116,105
118,105
121,105
131,105
121,107
125,107
133,108
113,109
115,109
116,109
118,109
119,109
122,109
118,110
100,113
98,115
99,117
101,117
97,118
85,121
86,123
86,125
85,126
83,127
17,129
19,129
20,129
24,129
25,129
32,129
36,129
52,129
56,129
58,129
66,129
68,129
87,129
20,130
66,130
10,131
15,131
17,131
24,131
30,131
51,131
56,131
60,131
67,131
86,131
7,132
15,132
29,132
32,132
59,132
11,133
22,133
6,134
12,134
23,134
27,134
58,134
66,134
83,134
5,136
9,136
4,137
86,137
12,138
238,138
3,139
4,139
81,139
0,140
4,141
9,141
233,141
84,142
237,142
85,143
236,143
81,144
84,146
0,148
3,148
1,149
81,149
2,150
0,151
81,156
82,157
84,157
81,158
78,161
79,161
80,161
82,161
76,163
82,163
77,164
82,164
82,165
74,166
79,166
81,167
82,167
80,170
76,172
79,172
81,172
84,174
77,176
241,176
58,177
65,177
67,177
76,177
242,177
244,177
247,177
66,178
57,179
67,179
54,180
75,180
242,180
51,181
54,181
57,181
67,181
71,181
58,182
32,183
39,183
60,183
64,183
246,183
12,184
32,184
42,184
51,184
29,185
34,185
53,185
6,186
9,186
24,186
29,186
33,186
54,186
32,187
35,187
0,188
44,188
46,188
54,188
2,189
43,189
45,189
1,190
4,190
11,190
25,190
53,190
4,243
1,244
4,244
0,246
1,246
